lead_id,lead_indicator,date_part,source,customer_group,onboarding,customer_code
2,1.0,2024-01-27,signup,5,False,STWPXVNOWA
10,0.0,2024-01-11,signup,4,True,JWLXPVANUM
13,0.0,2024-01-22,signup,6,True,WNKCTHUHYI
17,1.0,2024-01-07,signup,8,False,INIQMTGGOO
19,0.0,2024-01-20,signup,9,True,SJGDAANOYJ
22,0.0,2024-01-06,signup,3,True,SPWNMQUWDX
27,1.0,2024-01-30,signup,1,True,IAPSPPLUZL
28,1.0,2024-01-11,signup,8,True,EDWMENKILD
29,0.0,2024-01-09,signup,3,False,DNGAQVVEDN
30,1.0,2024-01-20,signup,4,False,WSQVNMPZOH
32,0.0,2024-01-20,signup,9,False,GKIHITQJGU
33,1.0,2024-01-31,signup,4,True,QOVDCTYYGT
36,0.0,2024-01-28,signup,6,True,KYUCVVIKET
38,1.0,2024-01-02,signup,2,True,HFELNNHTEW
40,0.0,2024-01-01,signup,3,False,HOVYUZIDIO
41,0.0,2024-01-09,signup,6,False,BBRMJIJJBF
43,1.0,2024-01-13,signup,4,False,PWSIBFQQXN
44,0.0,2024-01-31,signup,8,True,XNVURJEHVZ
49,0.0,2024-01-29,signup,1,False,CPADDAXJVL
55,1.0,2024-01-16,signup,9,False,ZQFIPOQZHG
57,0.0,2024-01-31,signup,9,False,JFLRBCHQYR
58,0.0,2024-01-26,signup,7,True,SOMOYBNEQM
61,0.0,2024-01-03,signup,6,True,BTDCFQUACC
68,0.0,2024-01-02,signup,9,False,HTUIUEAPSS
72,0.0,2024-01-15,signup,5,True,KQAKBGLQBJ
87,1.0,2024-01-26,signup,7,False,XJMJZQDDJC
88,1.0,2024-01-19,signup,5,False,ILBYCVCCZP
93,1.0,2024-01-12,signup,3,True,BNJNDMKIOK
95,0.0,2024-01-07,signup,1,False,JBJDCNSVYQ
97,0.0,2024-01-12,signup,3,False,EVTQSTMJAY
104,1.0,2024-01-02,signup,1,True,IROQPSWYUC
107,1.0,2024-01-17,signup,2,True,YHGCDBUZOO
109,0.0,2024-01-23,signup,2,True,TUKZRKNGZC
110,0.0,2024-01-01,signup,4,True,NWTUJSIWDD
112,1.0,2024-01-18,signup,4,True,BPQXMGSSGK
116,1.0,2024-01-28,signup,3,False,ANVCOQDWPG
126,1.0,2024-01-12,signup,3,True,NBUXBYCSKE
130,0.0,2024-01-04,signup,5,True,FBOBLIOYHV
133,0.0,2024-01-12,signup,5,True,TLHITDPRSA
141,0.0,2024-01-01,signup,7,False,JMFONJZUPE
142,0.0,2024-01-17,signup,9,False,KNDCQISUNM
146,1.0,2024-01-25,signup,9,False,UKEAVDRBIM
148,0.0,2024-01-13,signup,2,True,VIQNDTATLY
152,0.0,2024-01-29,signup,2,False,PKMEXRHJWN
160,0.0,2024-01-23,signup,7,False,PJACVAGSNN
